Playlist: melt 💥 
1. Hand of Doom - 2012 - Remaster , Black Sabbath 
2. Zeitgeist , Black Sabbath 
3. Man On The Silver Mountain , Rainbow 
4. Working Man , Rush 
5. Sabbath Bloody Sabbath - 2014 Remaster , Black Sabbath 
6. The Trooper - 2015 Remaster , Iron Maiden 
7. The Boys Are Back In Town , Thin Lizzy 
8. Sweating Bullets - Remastered 2004 , Megadeth 
9. Rainbow in the Dark , Dio 
10. Holy Diver , Dio 
11. Straight Through the Heart , Dio 
12. N.I.B. , Black Sabbath 
13. Mr. Crowley , Ozzy Osbourne 
14. The Call Of Ktulu (Remastered) , Metallica 
15. Still Of The Night , Whitesnake 
16. Creeping Death (Remastered) , Metallica 
17. Living After Midnight , Judas Priest 
18. The Hellion , Judas Priest 
19. Blackened (Remastered) , Metallica 
20. Beyond the Realms of Death , Judas Priest 
21. Painkiller , Judas Priest 
22. Hallowed Be Thy Name - 2015 Remaster , Iron Maiden 
23. Ride The Lightning (Remastered) , Metallica 
24. A Tout Le Monde - Remastered 2004 , Megadeth 
25. Song For The Dead , Queens of the Stone Age 
26. Changes , Black Sabbath 
27. Strutter , KISS 
28. Eruption - 2015 Remaster , Van Halen 
29. Poison , Alice Cooper 
30. Heaven and Hell - 2009 Remaster , Black Sabbath 
31. The Ripper , Judas Priest 
32. Island Of Domination , Judas Priest 
33. Epitaph , Judas Priest 
34. Shout At The Devil , Mötley Crüe 
35. Looking Down the Cross , Megadeth 
36. Holy Wars...The Punishment Due - Remastered 2004 , Megadeth 
37. Mechanix , Megadeth 
38. Rattlehead , Megadeth 
39. Public Enemy No. 1 , Megadeth 
40. Overkill , Motörhead 
41. Electric Eye , Judas Priest 
42. St. Anger , Metallica 
43. United , Judas Priest 
44. Victim Of Changes , Judas Priest 
45. Breaking the Law , Judas Priest 
46. In My Darkest Hour - Remastered , Megadeth 
47. Fear of the Dark - 2015 Remaster , Iron Maiden 
48. The Number of the Beast - 2015 Remaster , Iron Maiden 
49. The Four Horsemen (Remastered) , Metallica 
50. Am I Evil , Diamond Head 
51. Ain't Talkin' 'Bout Love - 2015 Remaster , Van Halen 
52. Hit The Lights (Remastered) , Metallica 
53. Live Wire , Mötley Crüe 
54. Girls, Girls, Girls , Mötley Crüe 
55. Love Me Forever , Motörhead 
56. Children of the Damned - 2015 Remaster , Iron Maiden 
57. Strange World - 1998 Remastered Version , Iron Maiden 
58. Symphony Of Destruction , Megadeth 
59. Escape (Remastered) , Metallica 
60. Fade To Black (Remastered) , Metallica 
61. Master of Puppets (Remastered) , Metallica 
62. For Whom The Bell Tolls (Remastered) , Metallica 
63. Chosen Ones , Megadeth 
64. Children of the Grave , Black Sabbath 
65. War Pigs , Black Sabbath 
66. Phantom Lord (Remastered) , Metallica 
67. Metal Militia (Remastered) , Metallica 
68. Seek & Destroy (Remastered) , Metallica 
69. Perpetual Burn , Jason Becker 
70. For the Love of God , Steve Vai 
71. Nothing Else Matters , Metallica 
72. Enter Sandman , Metallica 
73. Chop Suey! , System Of A Down 
74. No More Tears , Ozzy Osbourne 
75. Mississippi Queen , Mountain 
76. Purple Haze - Live at The Woodstock Music & Art Fair, August 18, 1969 , Jimi Hendrix 
77. Crazy Train , Ozzy Osbourne 
78. Paranoid - 2012 - Remaster , Black Sabbath 
79. Iron Man - 2012 - Remaster , Black Sabbath 
80. Whiplash (Remastered) , Metallica 
81. (Anesthesia)--Pulling Teeth (Remastered) , Metallica 
82. Motorbreath (Remastered) , Metallica 
83. Runnin' with the Devil - 2015 Remaster , Van Halen 
84. Welcome To The Jungle , Guns N' Roses 
85. Battery (Remastered) , Metallica 
86. Ace of Spades , Motörhead 
87. Stargazer , Rainbow 
88. Black Sabbath - 2014 Remaster , Black Sabbath 
89. Infected , Bad Religion 
90. Walk , Pantera 
91. Cowboys from Hell , Pantera 
92. Don't Talk to Strangers , Dio 
93. South Of Heaven , Slayer 
94. Tornado Of Souls - Remastered 2004 , Megadeth 
95. Here I Go Again - 2018 Remaster , Whitesnake 
96. Run to the Hills - 2015 Remaster , Iron Maiden 
97. One (Remastered) , Metallica 
98. Electric Funeral - 2012 - Remaster , Black Sabbath 
99. Children of the Sea - 2008 Remaster , Black Sabbath 
100. Lady Evil - 2008 Remaster , Black Sabbath 
